| time |reset|ARegister|DRegister|PC[]|RAM16K[16|RAM16K[17|RAM16K[18|RAM16K[19|
| 0    |  0  |       0 |       0 |   0|       6 |       5 |       4 |       0 |
| 1    |  0  |      16 |       0 |   1|       6 |       5 |       4 |       0 |
| 2    |  0  |      16 |       6 |   2|       6 |       5 |       4 |       0 |
| 3    |  0  |      17 |       6 |   3|       6 |       5 |       4 |       0 |
| 4    |  0  |      17 |      11 |   4|       6 |       5 |       4 |       0 |
| 5    |  0  |      18 |      11 |   5|       6 |       5 |       4 |       0 |
| 6    |  0  |      18 |       7 |   6|       6 |       5 |       4 |       0 |
| 7    |  0  |      19 |       7 |   7|       6 |       5 |       4 |       0 |
| 8    |  0  |      19 |       7 |   8|       6 |       5 |       4 |       7 |
| 9    |  1  |       8 |       7 |   0|       6 |       5 |       4 |       0 |
| 9    |  0  |       8 |       7 |   0|     457 |     332 |     284 |       0 |
| 10   |  0  |      16 |       7 |   1|     457 |     332 |     284 |       0 |
| 11   |  0  |      16 |     457 |   2|     457 |     332 |     284 |       0 |
| 12   |  0  |      17 |     457 |   3|     457 |     332 |     284 |       0 |
| 13   |  0  |      17 |     789 |   4|     457 |     332 |     284 |       0 |
| 14   |  0  |      18 |     789 |   5|     457 |     332 |     284 |       0 |
| 15   |  0  |      18 |     505 |   6|     457 |     332 |     284 |       0 |
| 16   |  0  |      19 |     505 |   7|     457 |     332 |     284 |       0 |
| 17   |  0  |      19 |     505 |   8|     457 |     332 |     284 |     505 |
