| time |reset|ARegister|DRegister|PC[]|RAM16K[16|RAM16K[17|RAM16K[18|
| 0    |  0  |       0 |       0 |   0|       6 |       5 |       0 |
| 1    |  0  |      16 |       0 |   1|       6 |       5 |       0 |
| 2    |  0  |      16 |       6 |   2|       6 |       5 |       0 |
| 3    |  0  |      17 |       6 |   3|       6 |       5 |       0 |
| 4    |  0  |      17 |       1 |   4|       6 |       5 |       0 |
| 5    |  0  |      10 |       1 |   5|       6 |       5 |       0 |
| 6    |  0  |      10 |       1 |  10|       6 |       5 |       0 |
| 7    |  0  |      18 |       1 |  11|       6 |       5 |       0 |
| 8    |  0  |      18 |       1 |  12|       6 |       5 |       1 |
| 9    |  1  |      12 |       1 |   0|       6 |       5 |       0 |
| 9    |  0  |      12 |       1 |   0|     267 |     332 |       0 |
| 10   |  0  |      16 |       1 |   1|     267 |     332 |       0 |
| 11   |  0  |      16 |     267 |   2|     267 |     332 |       0 |
| 12   |  0  |      17 |     267 |   3|     267 |     332 |       0 |
| 13   |  0  |      17 |     -65 |   4|     267 |     332 |       0 |
| 14   |  0  |      10 |     -65 |   5|     267 |     332 |       0 |
| 15   |  0  |      10 |     -65 |   6|     267 |     332 |       0 |
| 16   |  0  |      17 |     -65 |   7|     267 |     332 |       0 |
| 17   |  0  |      17 |     332 |   8|     267 |     332 |       0 |
| 18   |  0  |      16 |     332 |   9|     267 |     332 |       0 |
| 19   |  0  |      16 |      65 |  10|     267 |     332 |       0 |
| 20   |  0  |      18 |      65 |  11|     267 |     332 |       0 |
| 21   |  0  |      18 |      65 |  12|     267 |     332 |      65 |
| 22   |  1  |      12 |      65 |   0|     267 |     332 |       0 |
| 22   |  0  |      12 |      65 |   0|      69 |      69 |       0 |
| 23   |  0  |      16 |      65 |   1|      69 |      69 |       0 |
| 24   |  0  |      16 |      69 |   2|      69 |      69 |       0 |
| 25   |  0  |      17 |      69 |   3|      69 |      69 |       0 |
| 26   |  0  |      17 |       0 |   4|      69 |      69 |       0 |
| 27   |  0  |      10 |       0 |   5|      69 |      69 |       0 |
| 28   |  0  |      10 |       0 |   6|      69 |      69 |       0 |
| 29   |  0  |      17 |       0 |   7|      69 |      69 |       0 |
| 30   |  0  |      17 |      69 |   8|      69 |      69 |       0 |
| 31   |  0  |      16 |      69 |   9|      69 |      69 |       0 |
| 32   |  0  |      16 |       0 |  10|      69 |      69 |       0 |
| 33   |  0  |      18 |       0 |  11|      69 |      69 |       0 |
| 34   |  0  |      18 |       0 |  12|      69 |      69 |       0 |
