| time  |reset|ARegister|DRegister|PC[]|RAM16K[16|RAM16K[17|
| 1     |  0  |      16 |       0 |   1|       0 |       0 |
| 2     |  0  |      16 |       0 |   2|       1 |       0 |
| 3     |  0  |      17 |       0 |   3|       1 |       0 |
| 4     |  0  |      17 |       0 |   4|       1 |       0 |
| 5     |  0  |      16 |       0 |   5|       1 |       0 |
| 6     |  0  |      16 |       1 |   6|       1 |       0 |
| 7     |  0  |     100 |       1 |   7|       1 |       0 |
| 8     |  0  |     100 |     -99 |   8|       1 |       0 |
| 9     |  0  |      18 |     -99 |   9|       1 |       0 |
| 10    |  0  |      18 |     -99 |  10|       1 |       0 |
| 11    |  0  |      16 |     -99 |  11|       1 |       0 |
| 12    |  0  |      16 |       1 |  12|       1 |       0 |
| 13    |  0  |      17 |       1 |  13|       1 |       0 |
| 14    |  0  |      17 |       1 |  14|       1 |       1 |
| 15    |  0  |      16 |       1 |  15|       1 |       1 |
| 16    |  0  |      16 |       1 |  16|       2 |       1 |
| 17    |  0  |       4 |       1 |  17|       2 |       1 |
| 18    |  0  |       4 |       1 |   4|       2 |       1 |
| 19    |  0  |      16 |       1 |   5|       2 |       1 |
| 20    |  0  |      16 |       2 |   6|       2 |       1 |
| 21    |  0  |     100 |       2 |   7|       2 |       1 |
| 22    |  0  |     100 |     -98 |   8|       2 |       1 |
| 23    |  0  |      18 |     -98 |   9|       2 |       1 |
| 24    |  0  |      18 |     -98 |  10|       2 |       1 |
| 25    |  0  |      16 |     -98 |  11|       2 |       1 |
| 26    |  0  |      16 |       2 |  12|       2 |       1 |
| 27    |  0  |      17 |       2 |  13|       2 |       1 |
| 28    |  0  |      17 |       2 |  14|       2 |       3 |
| 29    |  0  |      16 |       2 |  15|       2 |       3 |
| 30    |  0  |      16 |       2 |  16|       3 |       3 |
| 31    |  0  |       4 |       2 |  17|       3 |       3 |
| 32    |  0  |       4 |       2 |   4|       3 |       3 |
| 33    |  0  |      16 |       2 |   5|       3 |       3 |
| 34    |  0  |      16 |       3 |   6|       3 |       3 |
| 35    |  0  |     100 |       3 |   7|       3 |       3 |
| 36    |  0  |     100 |     -97 |   8|       3 |       3 |
| 37    |  0  |      18 |     -97 |   9|       3 |       3 |
| 38    |  0  |      18 |     -97 |  10|       3 |       3 |
| 39    |  0  |      16 |     -97 |  11|       3 |       3 |
| 40    |  0  |      16 |       3 |  12|       3 |       3 |
| 41    |  0  |      17 |       3 |  13|       3 |       3 |
| 42    |  0  |      17 |       3 |  14|       3 |       6 |
| 43    |  0  |      16 |       3 |  15|       3 |       6 |
| 44    |  0  |      16 |       3 |  16|       4 |       6 |
| 45    |  0  |       4 |       3 |  17|       4 |       6 |
| 46    |  0  |       4 |       3 |   4|       4 |       6 |
| 47    |  0  |      16 |       3 |   5|       4 |       6 |
| 48    |  0  |      16 |       4 |   6|       4 |       6 |
| 49    |  0  |     100 |       4 |   7|       4 |       6 |
| 50    |  0  |     100 |     -96 |   8|       4 |       6 |
| 51    |  0  |      18 |     -96 |   9|       4 |       6 |
| 52    |  0  |      18 |     -96 |  10|       4 |       6 |
| 53    |  0  |      16 |     -96 |  11|       4 |       6 |
| 54    |  0  |      16 |       4 |  12|       4 |       6 |
| 55    |  0  |      17 |       4 |  13|       4 |       6 |
| 56    |  0  |      17 |       4 |  14|       4 |      10 |
| 57    |  0  |      16 |       4 |  15|       4 |      10 |
| 58    |  0  |      16 |       4 |  16|       5 |      10 |
| 59    |  0  |       4 |       4 |  17|       5 |      10 |
| 60    |  0  |       4 |       4 |   4|       5 |      10 |
| 61    |  0  |      16 |       4 |   5|       5 |      10 |
| 62    |  0  |      16 |       5 |   6|       5 |      10 |
| 63    |  0  |     100 |       5 |   7|       5 |      10 |
| 64    |  0  |     100 |     -95 |   8|       5 |      10 |
| 65    |  0  |      18 |     -95 |   9|       5 |      10 |
| 66    |  0  |      18 |     -95 |  10|       5 |      10 |
| 67    |  0  |      16 |     -95 |  11|       5 |      10 |
| 68    |  0  |      16 |       5 |  12|       5 |      10 |
| 69    |  0  |      17 |       5 |  13|       5 |      10 |
| 70    |  0  |      17 |       5 |  14|       5 |      15 |
| 71    |  0  |      16 |       5 |  15|       5 |      15 |
| 72    |  0  |      16 |       5 |  16|       6 |      15 |
| 73    |  0  |       4 |       5 |  17|       6 |      15 |
| 74    |  0  |       4 |       5 |   4|       6 |      15 |
| 75    |  0  |      16 |       5 |   5|       6 |      15 |
| 76    |  0  |      16 |       6 |   6|       6 |      15 |
| 77    |  0  |     100 |       6 |   7|       6 |      15 |
| 78    |  0  |     100 |     -94 |   8|       6 |      15 |
| 79    |  0  |      18 |     -94 |   9|       6 |      15 |
| 80    |  0  |      18 |     -94 |  10|       6 |      15 |
| 81    |  0  |      16 |     -94 |  11|       6 |      15 |
| 82    |  0  |      16 |       6 |  12|       6 |      15 |
| 83    |  0  |      17 |       6 |  13|       6 |      15 |
| 84    |  0  |      17 |       6 |  14|       6 |      21 |
| 85    |  0  |      16 |       6 |  15|       6 |      21 |
| 86    |  0  |      16 |       6 |  16|       7 |      21 |
| 87    |  0  |       4 |       6 |  17|       7 |      21 |
| 88    |  0  |       4 |       6 |   4|       7 |      21 |
| 89    |  0  |      16 |       6 |   5|       7 |      21 |
| 90    |  0  |      16 |       7 |   6|       7 |      21 |
| 91    |  0  |     100 |       7 |   7|       7 |      21 |
| 92    |  0  |     100 |     -93 |   8|       7 |      21 |
| 93    |  0  |      18 |     -93 |   9|       7 |      21 |
| 94    |  0  |      18 |     -93 |  10|       7 |      21 |
| 95    |  0  |      16 |     -93 |  11|       7 |      21 |
| 96    |  0  |      16 |       7 |  12|       7 |      21 |
| 97    |  0  |      17 |       7 |  13|       7 |      21 |
| 98    |  0  |      17 |       7 |  14|       7 |      28 |
| 99    |  0  |      16 |       7 |  15|       7 |      28 |
| 100   |  0  |      16 |       7 |  16|       8 |      28 |
| 101   |  0  |       4 |       7 |  17|       8 |      28 |
| 102   |  0  |       4 |       7 |   4|       8 |      28 |
| 103   |  0  |      16 |       7 |   5|       8 |      28 |
| 104   |  0  |      16 |       8 |   6|       8 |      28 |
| 105   |  0  |     100 |       8 |   7|       8 |      28 |
| 106   |  0  |     100 |     -92 |   8|       8 |      28 |
| 107   |  0  |      18 |     -92 |   9|       8 |      28 |
| 108   |  0  |      18 |     -92 |  10|       8 |      28 |
| 109   |  0  |      16 |     -92 |  11|       8 |      28 |
| 110   |  0  |      16 |       8 |  12|       8 |      28 |
| 111   |  0  |      17 |       8 |  13|       8 |      28 |
| 112   |  0  |      17 |       8 |  14|       8 |      36 |
| 113   |  0  |      16 |       8 |  15|       8 |      36 |
| 114   |  0  |      16 |       8 |  16|       9 |      36 |
| 115   |  0  |       4 |       8 |  17|       9 |      36 |
| 116   |  0  |       4 |       8 |   4|       9 |      36 |
| 117   |  0  |      16 |       8 |   5|       9 |      36 |
| 118   |  0  |      16 |       9 |   6|       9 |      36 |
| 119   |  0  |     100 |       9 |   7|       9 |      36 |
| 120   |  0  |     100 |     -91 |   8|       9 |      36 |
| 121   |  0  |      18 |     -91 |   9|       9 |      36 |
| 122   |  0  |      18 |     -91 |  10|       9 |      36 |
| 123   |  0  |      16 |     -91 |  11|       9 |      36 |
| 124   |  0  |      16 |       9 |  12|       9 |      36 |
| 125   |  0  |      17 |       9 |  13|       9 |      36 |
| 126   |  0  |      17 |       9 |  14|       9 |      45 |
| 127   |  0  |      16 |       9 |  15|       9 |      45 |
| 128   |  0  |      16 |       9 |  16|      10 |      45 |
| 129   |  0  |       4 |       9 |  17|      10 |      45 |
| 130   |  0  |       4 |       9 |   4|      10 |      45 |
| 131   |  0  |      16 |       9 |   5|      10 |      45 |
| 132   |  0  |      16 |      10 |   6|      10 |      45 |
| 133   |  0  |     100 |      10 |   7|      10 |      45 |
| 134   |  0  |     100 |     -90 |   8|      10 |      45 |
| 135   |  0  |      18 |     -90 |   9|      10 |      45 |
| 136   |  0  |      18 |     -90 |  10|      10 |      45 |
| 137   |  0  |      16 |     -90 |  11|      10 |      45 |
| 138   |  0  |      16 |      10 |  12|      10 |      45 |
| 139   |  0  |      17 |      10 |  13|      10 |      45 |
| 140   |  0  |      17 |      10 |  14|      10 |      55 |
| 141   |  0  |      16 |      10 |  15|      10 |      55 |
| 142   |  0  |      16 |      10 |  16|      11 |      55 |
| 143   |  0  |       4 |      10 |  17|      11 |      55 |
| 144   |  0  |       4 |      10 |   4|      11 |      55 |
| 145   |  0  |      16 |      10 |   5|      11 |      55 |
| 146   |  0  |      16 |      11 |   6|      11 |      55 |
| 147   |  0  |     100 |      11 |   7|      11 |      55 |
| 148   |  0  |     100 |     -89 |   8|      11 |      55 |
| 149   |  0  |      18 |     -89 |   9|      11 |      55 |
| 150   |  0  |      18 |     -89 |  10|      11 |      55 |
| 151   |  0  |      16 |     -89 |  11|      11 |      55 |
| 152   |  0  |      16 |      11 |  12|      11 |      55 |
| 153   |  0  |      17 |      11 |  13|      11 |      55 |
| 154   |  0  |      17 |      11 |  14|      11 |      66 |
| 155   |  0  |      16 |      11 |  15|      11 |      66 |
| 156   |  0  |      16 |      11 |  16|      12 |      66 |
| 157   |  0  |       4 |      11 |  17|      12 |      66 |
| 158   |  0  |       4 |      11 |   4|      12 |      66 |
| 159   |  0  |      16 |      11 |   5|      12 |      66 |
| 160   |  0  |      16 |      12 |   6|      12 |      66 |
| 161   |  0  |     100 |      12 |   7|      12 |      66 |
| 162   |  0  |     100 |     -88 |   8|      12 |      66 |
| 163   |  0  |      18 |     -88 |   9|      12 |      66 |
| 164   |  0  |      18 |     -88 |  10|      12 |      66 |
| 165   |  0  |      16 |     -88 |  11|      12 |      66 |
| 166   |  0  |      16 |      12 |  12|      12 |      66 |
| 167   |  0  |      17 |      12 |  13|      12 |      66 |
| 168   |  0  |      17 |      12 |  14|      12 |      78 |
| 169   |  0  |      16 |      12 |  15|      12 |      78 |
| 170   |  0  |      16 |      12 |  16|      13 |      78 |
| 171   |  0  |       4 |      12 |  17|      13 |      78 |
| 172   |  0  |       4 |      12 |   4|      13 |      78 |
| 173   |  0  |      16 |      12 |   5|      13 |      78 |
| 174   |  0  |      16 |      13 |   6|      13 |      78 |
| 175   |  0  |     100 |      13 |   7|      13 |      78 |
| 176   |  0  |     100 |     -87 |   8|      13 |      78 |
| 177   |  0  |      18 |     -87 |   9|      13 |      78 |
| 178   |  0  |      18 |     -87 |  10|      13 |      78 |
| 179   |  0  |      16 |     -87 |  11|      13 |      78 |
| 180   |  0  |      16 |      13 |  12|      13 |      78 |
| 181   |  0  |      17 |      13 |  13|      13 |      78 |
| 182   |  0  |      17 |      13 |  14|      13 |      91 |
| 183   |  0  |      16 |      13 |  15|      13 |      91 |
| 184   |  0  |      16 |      13 |  16|      14 |      91 |
| 185   |  0  |       4 |      13 |  17|      14 |      91 |
| 186   |  0  |       4 |      13 |   4|      14 |      91 |
| 187   |  0  |      16 |      13 |   5|      14 |      91 |
| 188   |  0  |      16 |      14 |   6|      14 |      91 |
| 189   |  0  |     100 |      14 |   7|      14 |      91 |
| 190   |  0  |     100 |     -86 |   8|      14 |      91 |
| 191   |  0  |      18 |     -86 |   9|      14 |      91 |
| 192   |  0  |      18 |     -86 |  10|      14 |      91 |
| 193   |  0  |      16 |     -86 |  11|      14 |      91 |
| 194   |  0  |      16 |      14 |  12|      14 |      91 |
| 195   |  0  |      17 |      14 |  13|      14 |      91 |
| 196   |  0  |      17 |      14 |  14|      14 |     105 |
| 197   |  0  |      16 |      14 |  15|      14 |     105 |
| 198   |  0  |      16 |      14 |  16|      15 |     105 |
| 199   |  0  |       4 |      14 |  17|      15 |     105 |
| 200   |  0  |       4 |      14 |   4|      15 |     105 |
| 201   |  0  |      16 |      14 |   5|      15 |     105 |
| 202   |  0  |      16 |      15 |   6|      15 |     105 |
| 203   |  0  |     100 |      15 |   7|      15 |     105 |
| 204   |  0  |     100 |     -85 |   8|      15 |     105 |
| 205   |  0  |      18 |     -85 |   9|      15 |     105 |
| 206   |  0  |      18 |     -85 |  10|      15 |     105 |
| 207   |  0  |      16 |     -85 |  11|      15 |     105 |
| 208   |  0  |      16 |      15 |  12|      15 |     105 |
| 209   |  0  |      17 |      15 |  13|      15 |     105 |
| 210   |  0  |      17 |      15 |  14|      15 |     120 |
| 211   |  0  |      16 |      15 |  15|      15 |     120 |
| 212   |  0  |      16 |      15 |  16|      16 |     120 |
| 213   |  0  |       4 |      15 |  17|      16 |     120 |
| 214   |  0  |       4 |      15 |   4|      16 |     120 |
| 215   |  0  |      16 |      15 |   5|      16 |     120 |
| 216   |  0  |      16 |      16 |   6|      16 |     120 |
| 217   |  0  |     100 |      16 |   7|      16 |     120 |
| 218   |  0  |     100 |     -84 |   8|      16 |     120 |
| 219   |  0  |      18 |     -84 |   9|      16 |     120 |
| 220   |  0  |      18 |     -84 |  10|      16 |     120 |
| 221   |  0  |      16 |     -84 |  11|      16 |     120 |
| 222   |  0  |      16 |      16 |  12|      16 |     120 |
| 223   |  0  |      17 |      16 |  13|      16 |     120 |
| 224   |  0  |      17 |      16 |  14|      16 |     136 |
| 225   |  0  |      16 |      16 |  15|      16 |     136 |
| 226   |  0  |      16 |      16 |  16|      17 |     136 |
| 227   |  0  |       4 |      16 |  17|      17 |     136 |
| 228   |  0  |       4 |      16 |   4|      17 |     136 |
| 229   |  0  |      16 |      16 |   5|      17 |     136 |
| 230   |  0  |      16 |      17 |   6|      17 |     136 |
| 231   |  0  |     100 |      17 |   7|      17 |     136 |
| 232   |  0  |     100 |     -83 |   8|      17 |     136 |
